group1,group2,Diff,Lower,Upper,q-value,p-value
"(11, 1)","(21, 1)",0.18333333333333357,-12.35813303887332,12.724799705539986,0.08812325142688568,0.9
"(11, 1)","(21, 0)",0.583333333333333,-9.331566400312184,10.498233066978848,0.3546711500546344,0.9
"(11, 1)","(16, 1)",3.3166666666666664,-9.224799705539986,15.85813303887332,1.5942297303591113,0.9
"(11, 1)","(16, 0)",0.41000000000000014,-8.458155917810373,9.278155917810373,0.2787070358433244,0.9
"(11, 1)","(10, 1)",0.26333333333333275,-8.032066940901224,8.558733607567888,0.19136648760351757,0.9
"(11, 1)","(10, 0)",1.166666666666666,-7.701489251143707,10.03482258447704,0.7930688011801907,0.9
"(11, 1)","(45, 1)",3.9833333333333334,-8.558133038873319,16.524799705539987,1.914677917365968,0.9
"(11, 1)","(45, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(29, 1)",1.7166666666666668,-10.824799705539986,14.25813303887332,0.8251540815426558,0.9
"(11, 1)","(29, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(34, 1)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(34, 0)",2.3166666666666664,-10.224799705539986,14.85813303887332,1.1135574498488265,0.9
"(11, 1)","(32, 1)",2.8866666666666667,-9.654799705539986,15.42813303887332,1.387540649739689,0.9
"(11, 1)","(32, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(19, 1)",0.7783333333333333,-9.136566400312184,10.693233066978848,0.47323264878718385,0.9
"(11, 1)","(19, 0)",3.716666666666667,-8.824799705539986,16.258133038873318,1.7864986425632254,0.9
"(11, 1)","(26, 1)",1.6666666666666665,-10.874799705539987,14.208133038873319,0.8011204675171414,0.9
"(11, 1)","(26, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(18, 1)",0.16666666666666696,-9.748233066978848,10.081566400312184,0.10133461430132434,0.9
"(11, 1)","(18, 0)",1.458333333333333,-8.456566400312184,11.373233066978848,0.8866778751365862,0.9
"(11, 1)","(42, 1)",1.083333333333333,-11.45813303887332,13.624799705539985,0.5207283038861418,0.9
"(11, 1)","(42, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(22, 1)",1.6583333333333332,-8.256566400312183,11.57323306697885,1.0082794122981753,0.9
"(11, 1)","(22, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(36, 1)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(36, 0)",2.1833333333333336,-10.35813303887332,14.724799705539986,1.0494678124474555,0.9
"(11, 1)","(31, 1)",0.8166666666666664,-11.724799705539986,13.35813303887332,0.3925490290833992,0.9
"(11, 1)","(31, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(41, 1)",1.3166666666666664,-11.224799705539986,13.85813303887332,0.6328851693385417,0.9
"(11, 1)","(41, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(27, 1)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(27, 0)",0.7166666666666668,-11.824799705539986,13.25813303887332,0.34448180103237086,0.9
"(11, 1)","(44, 1)",3.6666666666666665,-8.874799705539987,16.20813303887332,1.762465028537711,0.9
"(11, 1)","(44, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(40, 1)",5.483333333333333,-7.058133038873319,18.024799705539987,2.6356863381313955,0.9
"(11, 1)","(40, 0)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(39, 1)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(39, 0)",5.583333333333333,-6.95813303887332,18.124799705539985,2.683753566182424,0.9
"(11, 1)","(43, 1)",0.0,-inf,inf,0.0,0.9
"(11, 1)","(43, 0)",2.5166666666666666,-10.024799705539987,15.058133038873319,1.2096919059508835,0.9
"(11, 0)","(3, 1)",0.062342857142857255,-4.230116820468837,4.354802534754551,0.08755437931447954,0.9
