,group1,group2,Diff,Lower,Upper,q-value,p-value,df_num,dv_num,iv,ds_name,dv_name
46,27.0,24.0,3.612,-4.592625534097047,11.816625534097048,2.5512700768005523,0.9,1,1,breed_n,df,wt_kg
47,27.0,63.0,4.1579999999999995,-4.046625534097048,12.362625534097047,2.936927181433193,0.9,1,1,breed_n,df,wt_kg
48,27.0,30.0,0.4579999999999993,-3.5454473286203543,4.461447328620353,0.6629775416046325,0.9,1,1,breed_n,df,wt_kg
49,27.0,13.0,2.5579999999999994,-5.646625534097048,10.762625534097047,1.8067964718869907,0.9,1,1,breed_n,df,wt_kg
50,27.0,29.0,1.4579999999999993,-6.746625534097048,9.662625534097046,1.0298316090739765,0.9,1,1,breed_n,df,wt_kg
51,27.0,36.0,0.8420000000000005,-7.362625534097047,9.046625534097048,0.5947312858986894,0.9,1,1,breed_n,df,wt_kg
52,27.0,57.0,0.007999999999999119,-8.196625534097048,8.212625534097047,0.00565065354773039,0.9,1,1,breed_n,df,wt_kg
53,27.0,8.0,3.2079999999999993,-4.996625534097048,11.412625534097046,2.2659120726401354,0.9,1,1,breed_n,df,wt_kg
54,27.0,41.0,0.9253333333333336,-4.032048918082973,5.88271558474964,1.0817160098272434,0.9,1,1,breed_n,df,wt_kg
55,27.0,4.0,0.6979999999999995,-7.506625534097048,8.902625534097048,0.4930195220395305,0.9,1,1,breed_n,df,wt_kg
56,27.0,23.0,1.2919999999999998,-4.646072004336288,7.230072004336288,1.2609112284649613,0.9,1,1,breed_n,df,wt_kg
57,27.0,37.0,0.9579999999999993,-7.246625534097048,9.162625534097046,0.6766657623407882,0.9,1,1,breed_n,df,wt_kg
58,27.0,50.0,6.542,-1.6626255340970477,14.746625534097047,4.620821938657035,0.491755128140118,1,1,breed_n,df,wt_kg
59,27.0,60.0,5.442,-2.7626255340970474,13.646625534097048,3.843857075844021,0.8789016129925853,1,1,breed_n,df,wt_kg
60,27.0,32.0,6.642000000000001,-1.5626255340970463,14.846625534097049,4.691455108003674,0.4536047945146976,1,1,breed_n,df,wt_kg
61,62.0,53.0,1.378591666666666,-0.027372829070910543,2.7845561624042423,5.682360112955895,0.06685366879060817,1,1,breed_n,df,wt_kg
62,62.0,35.0,3.403372747747748,1.9194627819138732,4.887282713581622,13.29136006937658,0.001,1,1,breed_n,df,wt_kg
63,62.0,61.0,3.6696936274509797,2.3852096752737197,4.95417757962824,16.556501887773475,0.001,1,1,breed_n,df,wt_kg
64,62.0,16.0,3.72625,2.0918494721286214,5.360650527871378,13.2123768736332,0.001,1,1,breed_n,df,wt_kg
65,62.0,40.0,1.123291666666666,-1.6599921399129105,3.9065754732462423,2.3388507137254697,0.9,1,1,breed_n,df,wt_kg
66,62.0,58.0,3.105449561403508,1.3668445649770145,4.844054557830001,10.351207498365655,0.001,1,1,breed_n,df,wt_kg
